Topics,Alpha,Eta,Coherence
8,0.31,0.01,-3.648836602338445
8,0.31,0.31,-5.490902561926806
8,0.31,0.61,-12.35539634073712
8,0.31,0.9099999999999999,-10.679034870288547
8,0.31,symmetric,-3.9111501933106814
8,0.61,0.01,-3.0609588036149056
8,0.61,0.31,-3.5399653763973262
8,0.61,0.61,-10.003515316807746
8,0.61,0.9099999999999999,-11.074856918672031
8,0.61,symmetric,-3.288428662055702
8,0.9099999999999999,0.01,-3.058479561254354
8,0.9099999999999999,0.31,-3.4337759517124407
8,0.9099999999999999,0.61,-8.77174634066075
8,0.9099999999999999,0.9099999999999999,-10.067065723227728
8,0.9099999999999999,symmetric,-3.4629958988723537
8,symmetric,0.01,-3.5602098660465424
8,symmetric,0.31,-5.684904319633955
8,symmetric,0.61,-14.539065109828327
8,symmetric,0.9099999999999999,-14.35643700449593
8,symmetric,symmetric,-3.511650098576724
8,asymmetric,0.01,-4.792768432557102
8,asymmetric,0.31,-10.642951336864162
8,asymmetric,0.61,-11.910943049234158
8,asymmetric,0.9099999999999999,-12.322063804591131
8,asymmetric,symmetric,-6.546242682941311
9,0.01,0.01,-4.049714635053627
9,0.01,0.31,-8.361734107245965
9,0.01,0.61,-13.134062898651482
9,0.01,0.9099999999999999,-12.87472351206678
9,0.01,symmetric,-5.297340553382326
9,0.31,0.01,-3.607145246828117
9,0.31,0.31,-7.300476468145484
9,0.31,0.61,-11.388523604754408
9,0.31,0.9099999999999999,-13.911152716091655
9,0.31,symmetric,-5.251686242847253
9,0.61,0.01,-3.3875738251972325
9,0.61,0.31,-4.231950829873804
9,0.61,0.61,-10.698570609066692
9,0.61,0.9099999999999999,-11.16843744003836
9,0.61,symmetric,-3.8581092508464203
9,0.9099999999999999,0.01,-3.07582323141232
9,0.9099999999999999,0.31,-4.522539781174804
9,0.9099999999999999,0.61,-9.6608776809539
9,0.9099999999999999,0.9099999999999999,-11.354973228673325
9,0.9099999999999999,symmetric,-3.5309273032475397
